RadioFreq,Sex,SexBin,event,RadioDays,enter,exit,Year,STUDYAREA,StudyAreaBin,Initial Fate,Final cause,PRECIP,PREVPRECIP,LIONREMOV,Lion Difference,air_coyote_density,ground_coyote_density,TotalCRD,Trap_Site,Calc_age,Capture_Date,Date_Fate,Est_Birth_Date,start of season,Trap_Site,KM_Fate,Personnel,Trap_Longitude,Trap_Latitude,Elevation,Fate_Longitude,Fate_Latitude,,,,,,,,,,,,,,,,s02
153.34,M,1,0,47,9,56,2000,73A,0,shedcoll,.,1.02,3,8.87,7.11,79.78,14.18,93.97,BAKER CANYON,9,6/9/2000,7/26/2000,5/31/2000,5/19/2000,BAKER CANYON,1,"HURLEY,SEGLUND",363903,4693297,,364080,4692744,,,,,,,,,,,,,,,,
153.35,F,0,0,71,3.9,74.9,2000,73A,0,shedcoll,.,1.02,3,8.87,7.11,79.78,14.18,93.97,LAKE CANYON,3.9,6/13/2000,8/23/2000,6/9/2000,5/19/2000,LAKE CANYON,1,"HURLEY,JULES,SCOTT",365370,4697045,,366042,4696986,,,,,,,,,,,,,,,,
153.36,M,1,0,118,9,127,2000,73A,0,Radiofai,.,1.02,3,8.87,7.11,79.78,14.18,93.97,BAKER CANYON,9,6/3/2000,9/29/2000,5/25/2000,5/19/2000,BAKER CANYON,1,"GUNNELL,MUIR",365407,4696155,6120,0,0,,,,,,,,,,,,,,,,
153.41,M,1,0,157,13.75,170.75,2000,73A,0,shedcoll,.,1.02,3,8.87,7.11,79.78,14.18,93.97,DEEP CRK PEAK,13.75,6/13/2000,11/17/2000,5/30/2000,5/19/2000,DEEP CRK PEAK,1,"COMPTON,HANSEN",0,0,,367884,4701316,,,,,,,,,,,,,,,,
153.48,M,1,0,115,6.45,121.45,2000,73A,0,Radiofai,.,1.02,3,8.87,7.11,79.78,14.18,93.97,SAGEHEN SPRINGS,6.45,6/6/2000,9/29/2000,5/30/2000,5/19/2000,SAGEHEN SPRINGS,1,"GUNNELL,MAC,SEGLUND,",357892,4688655,6600,0,0,,,,,,,,,,,,,,,,
153.56,M,1,0,126,3.9,129.9,2000,73A,0,shedcoll,.,1.02,3,8.87,7.11,79.78,14.18,93.97,N. BULL CANYON,3.9,6/17/2000,10/21/2000,6/13/2000,5/19/2000,N. BULL CANYON,1,"SCOTT,JULES,JUZA,DEB",362181,4694784,,362181,4694990,,,,,,,,,,,,,,,,
153.61,M,1,0,150,1.35,151.35,2000,73A,0,shedcoll,.,1.02,3,8.87,7.11,79.78,14.18,93.97,SAND HOLLOW,1.35,6/10/2000,11/7/2000,6/8/2000,5/19/2000,SAND HOLLOW,1,"DENNING,RAY",354370,4709819,,355655,4710054,,,,,,,,,,,,,,,,
153.63,F,0,0,82,3.9,85.9,2000,73A,0,Radiofai,.,1.02,3,8.87,7.11,79.78,14.18,93.97,BROADMOUTH CYN,3.9,6/11/2000,9/1/2000,6/7/2000,5/19/2000,BROADMOUTH CYN,1,"JUZA,SCOTT",352448,4722700,,0,0,,,,,,,,,,,,,,,,
153.65,M,1,0,167,16.65,183.65,2000,73A,0,Radiofai,.,1.02,3,8.87,7.11,79.78,14.18,93.97,EAST FORK,16.65,6/16/2000,11/30/2000,5/30/2000,5/19/2000,EAST FORK,1,"JUZA,DEBRA",352532,4716555,,0,0,,,,,,,,,,,,,,,,
153,F,0,0,164,3.9,167.9,2001,56,1,shedcoll,.,2.83,3.01,2.2,0,0,0,0,SHIRLEY CRK,3.9,6/4/2001,11/15/2001,5/31/2001,5/19/2001,SHIRLEY CRK,1,"GUNNELL, WOOTEN",328655,4692166,,325749,4692195,,,,,,,,,,,,,,,,
153.01,M,1,0,180,3.9,183.9,2001,56,1,Radiofai,.,2.83,3.01,2.2,0,0,0,0,SHIRLEY CRK,3.9,6/3/2001,11/30/2001,5/30/2001,5/19/2001,SHIRLEY CRK,1,YENGLIN,328655,4692166,,0,0,,,,,,,,,,,,,,,,
153.02,F,0,0,181,1.35,182.35,2001,56,1,shedcoll,.,2.83,3.01,2.2,0,0,0,0,VAN KAMP CRK,1.35,6/2/2001,11/30/2001,5/31/2001,5/19/2001,VAN KAMP CRK,1,"R. SMITH, YENGLIN",329067,4691434,,322378,4706832,,,,,,,,,,,,,,,,
153.04,M,1,0,178,1.35,179.35,2001,56,1,shedcoll,.,2.83,3.01,2.2,0,0,0,0,SHIRLEY CRK,1.35,6/5/2001,11/30/2001,6/3/2001,5/19/2001,SHIRLEY CRK,1,"GUNNELL, WOOTEN",327896,4691434,,322030,4697127,,,,,,,,,,,,,,,,
153.06,F,0,0,158,0,158,2001,56,1,shedcoll,.,2.83,3.01,2.2,0,0,0,0,SHIRLEY CRK,0,6/5/2001,11/10/2001,6/5/2001,5/19/2001,SHIRLEY CRK,1,"GUNNELL, WOOTEN",327636,4690766,,328640,4691178,,,,,,,,,,,,,,,,
